id,condition,expected_answer,audio_path,operation,params_json
8CDI_UdPLSQ_00-00-00_00-00-16,preserve,Between the 11th second and the 12th second,data/audio/preserve/8CDI_UdPLSQ_00-00-00_00-00-16__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
GQLBcczwI8s_00-00-00_00-00-30,change,20 seconds,data/audio/change/GQLBcczwI8s_00-00-00_00-00-30__change.wav,trim_front,"{""seconds"": 6.0}"
GQLBcczwI8s_00-00-00_00-00-30,preserve,26 seconds,data/audio/preserve/GQLBcczwI8s_00-00-00_00-00-30__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
oLWpgWuUaU4_00-10-35_00-11-05,change,18th second,data/audio/change/oLWpgWuUaU4_00-10-35_00-11-05__change.wav,trim_front,"{""seconds"": 6.0}"
oLWpgWuUaU4_00-10-35_00-11-05,preserve,24th second,data/audio/preserve/oLWpgWuUaU4_00-10-35_00-11-05__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
a3RfULw7aAY_00-00-00_00-00-09,change,8 seconds to 9 seconds,data/audio/change/a3RfULw7aAY_00-00-00_00-00-09__change.wav,pad_front,"{""seconds"": 2.0}"
a3RfULw7aAY_00-00-00_00-00-09,preserve,6 seconds to 7 seconds,data/audio/preserve/a3RfULw7aAY_00-00-00_00-00-09__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
NscY5s3yxiU_00-00-00_00-00-15,change,6,data/audio/change/NscY5s3yxiU_00-00-00_00-00-15__change.wav,mute,"{""end"": 9.75, ""start"": 9.25}"
NscY5s3yxiU_00-00-00_00-00-15,preserve,7,data/audio/preserve/NscY5s3yxiU_00-00-00_00-00-15__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
VqAnet0I1jg_00-00-00_00-00-17,change,2,data/audio/change/VqAnet0I1jg_00-00-00_00-00-17__change.wav,mute,"{""end"": 13.55, ""start"": 13.15}"
VqAnet0I1jg_00-00-00_00-00-17,preserve,3,data/audio/preserve/VqAnet0I1jg_00-00-00_00-00-17__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
99UFStYNSjM_00-00-00_00-00-09,change,10,data/audio/change/99UFStYNSjM_00-00-00_00-00-09__change.wav,multi_mute,"{""intervals"": [[7.5, 7.8], [8.05, 8.35]]}"
99UFStYNSjM_00-00-00_00-00-09,preserve,12,data/audio/preserve/99UFStYNSjM_00-00-00_00-00-09__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV14v411z7oc_00-00-36_00-01-06,change,8,data/audio/change/BV14v411z7oc_00-00-36_00-01-06__change.wav,mute,"{""end"": 20.9, ""start"": 20.58}"
BV14v411z7oc_00-00-36_00-01-06,preserve,9,data/audio/preserve/BV14v411z7oc_00-00-36_00-01-06__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1wC411L7B4_00-00-00_00-00-15,change,5,data/audio/change/BV1wC411L7B4_00-00-00_00-00-15__change.wav,multi_mute,"{""intervals"": [[8.72, 9.02], [10.62, 10.95]]}"
BV1wC411L7B4_00-00-00_00-00-15,preserve,7,data/audio/preserve/BV1wC411L7B4_00-00-00_00-00-15__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV13C4y1N7w9_00-00-00_00-00-03,change,Three times,data/audio/change/BV13C4y1N7w9_00-00-00_00-00-03__change.wav,mute,"{""end"": 1.52, ""start"": 1.15}"
BV13C4y1N7w9_00-00-00_00-00-03,preserve,Four times,data/audio/preserve/BV13C4y1N7w9_00-00-00_00-00-03__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
QtIlD6uxwwk_00-00-33_00-00-40,change,Three claps,data/audio/change/QtIlD6uxwwk_00-00-33_00-00-40__change.wav,multi_mute,"{""intervals"": [[4.08, 4.32], [4.49, 4.72]]}"
QtIlD6uxwwk_00-00-33_00-00-40,preserve,Five claps,data/audio/preserve/QtIlD6uxwwk_00-00-33_00-00-40__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1eL4y1h7bW_00-00-01_00-00-12,change,2,data/audio/change/BV1eL4y1h7bW_00-00-01_00-00-12__change.wav,mute,"{""end"": 11.0, ""start"": 6.25}"
BV1eL4y1h7bW_00-00-01_00-00-12,preserve,3,data/audio/preserve/BV1eL4y1h7bW_00-00-01_00-00-12__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1q34y1a7jG_00-00-03_00-00-10,change,4 times,data/audio/change/BV1q34y1a7jG_00-00-03_00-00-10__change.wav,mute,"{""end"": 4.9, ""start"": 4.4}"
BV1q34y1a7jG_00-00-03_00-00-10,preserve,5 times,data/audio/preserve/BV1q34y1a7jG_00-00-03_00-00-10__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1rgQMYfEW2_00-02-54_00-03-00,change,6 times,data/audio/change/BV1rgQMYfEW2_00-02-54_00-03-00__change.wav,mute,"{""end"": 5.35, ""start"": 4.98}"
BV1rgQMYfEW2_00-02-54_00-03-00,preserve,7 times,data/audio/preserve/BV1rgQMYfEW2_00-02-54_00-03-00__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV19Y411Y781_00-00-01_00-00-19,change,9,data/audio/change/BV19Y411Y781_00-00-01_00-00-19__change.wav,mute,"{""end"": 16.8, ""start"": 16.28}"
BV19Y411Y781_00-00-01_00-00-19,preserve,10,data/audio/preserve/BV19Y411Y781_00-00-01_00-00-19__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1Sg411v7Yr_00-21-07_00-21-14,change,2,data/audio/change/BV1Sg411v7Yr_00-21-07_00-21-14__change.wav,mute,"{""end"": 3.2, ""start"": 2.88}"
BV1Sg411v7Yr_00-21-07_00-21-14,preserve,3,data/audio/preserve/BV1Sg411v7Yr_00-21-07_00-21-14__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
oxN1C2QQUIE_00-00-00_00-00-30,change,21 seconds,data/audio/change/oxN1C2QQUIE_00-00-00_00-00-30__change.wav,trim_front,"{""seconds"": 5.0}"
oxN1C2QQUIE_00-00-00_00-00-30,preserve,26 seconds,data/audio/preserve/oxN1C2QQUIE_00-00-00_00-00-30__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1v4dAY7EGc_00-01-00_00-01-30,change,"6, gradually softer and slower",data/audio/change/BV1v4dAY7EGc_00-01-00_00-01-30__change.wav,reverse,"{""end"": 30.0, ""start"": 0.0}"
BV1v4dAY7EGc_00-01-00_00-01-30,preserve,"6, gradually louder and faster",data/audio/preserve/BV1v4dAY7EGc_00-01-00_00-01-30__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1gt4y1e7U5_00-00-52_00-01-16,change,4,data/audio/change/BV1gt4y1e7U5_00-00-52_00-01-16__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
BV1gt4y1e7U5_00-00-52_00-01-16,preserve,2,data/audio/preserve/BV1gt4y1e7U5_00-00-52_00-01-16__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
MbhNbtbVUag_00-00-00_00-00-30,change,4 times,data/audio/change/MbhNbtbVUag_00-00-00_00-00-30__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
MbhNbtbVUag_00-00-00_00-00-30,preserve,2 times,data/audio/preserve/MbhNbtbVUag_00-00-00_00-00-30__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
BV1Ju411u7sN_00-00-01_00-00-12,change,First segment,data/audio/change/BV1Ju411u7sN_00-00-01_00-00-12__change.wav,rotate,"{""split"": 6.5}"
BV1Ju411u7sN_00-00-01_00-00-12,preserve,Second segment,data/audio/preserve/BV1Ju411u7sN_00-00-01_00-00-12__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
BV1Kz4y1m7PX_00-00-50_00-01-20,change,2 times,data/audio/change/BV1Kz4y1m7PX_00-00-50_00-01-20__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
BV1Kz4y1m7PX_00-00-50_00-01-20,preserve,1 time,data/audio/preserve/BV1Kz4y1m7PX_00-00-50_00-01-20__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
dmxUu6PDD3c_00-00-00_00-00-03,change,8,data/audio/change/dmxUu6PDD3c_00-00-00_00-00-03__change.wav,trim_front,"{""seconds"": 0.8}"
dmxUu6PDD3c_00-00-00_00-00-03,preserve,9,data/audio/preserve/dmxUu6PDD3c_00-00-00_00-00-03__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
0W-yXvpaXNM_00-03-23_00-03-51,change,4 sentences,data/audio/change/0W-yXvpaXNM_00-03-23_00-03-51__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
0W-yXvpaXNM_00-03-23_00-03-51,preserve,2 sentences,data/audio/preserve/0W-yXvpaXNM_00-03-23_00-03-51__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
BV1F84y1i7jM_00-00-27_00-00-57,change,4,data/audio/change/BV1F84y1i7jM_00-00-27_00-00-57__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
BV1F84y1i7jM_00-00-27_00-00-57,preserve,2,data/audio/preserve/BV1F84y1i7jM_00-00-27_00-00-57__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
BV18h4y1o7wM_02-12-06_02-12-18,change,4,data/audio/change/BV18h4y1o7wM_02-12-06_02-12-18__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
BV18h4y1o7wM_02-12-06_02-12-18,preserve,2,data/audio/preserve/BV18h4y1o7wM_02-12-06_02-12-18__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
L4HUTaExyfo_00-00-41_00-01-11,change,4 times,data/audio/change/L4HUTaExyfo_00-00-41_00-01-11__change.wav,repeat,"{""gap_seconds"": 0.2, ""times"": 2}"
L4HUTaExyfo_00-00-41_00-01-11,preserve,2 times,data/audio/preserve/L4HUTaExyfo_00-00-41_00-01-11__preserve.wav,gain,"{""db"": -3, ""end"": 120.0, ""start"": 0.0}"
BV1iHCoYTEGi_00-00-01_00-00-28,change,4,data/audio/change/BV1iHCoYTEGi_00-00-01_00-00-28__change.wav,repeat,"{""times"": 2}"
BV1iHCoYTEGi_00-00-01_00-00-28,preserve,2,data/audio/preserve/BV1iHCoYTEGi_00-00-01_00-00-28__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
5SL4aoeSI14_00-00-00_00-00-15,change,8,data/audio/change/5SL4aoeSI14_00-00-00_00-00-15__change.wav,pad_front,"{""seconds"": 2.0}"
5SL4aoeSI14_00-00-00_00-00-15,preserve,6,data/audio/preserve/5SL4aoeSI14_00-00-00_00-00-15__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
yMd3zFT6E_A_00-00-00_00-00-05,change,4,data/audio/change/yMd3zFT6E_A_00-00-00_00-00-05__change.wav,pad_front,"{""seconds"": 1.0}"
yMd3zFT6E_A_00-00-00_00-00-05,preserve,3,data/audio/preserve/yMd3zFT6E_A_00-00-00_00-00-05__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
BV1XHfPYnEjx_00-02-52_00-03-20,change,No; second half,data/audio/change/BV1XHfPYnEjx_00-02-52_00-03-20__change.wav,rotate,"{""split"": 6.0}"
BV1XHfPYnEjx_00-02-52_00-03-20,preserve,No; first half,data/audio/preserve/BV1XHfPYnEjx_00-02-52_00-03-20__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
Yq61Ta2b7uE_00-00-00_00-00-15,change,First half,data/audio/change/Yq61Ta2b7uE_00-00-00_00-00-15__change.wav,rotate,"{""split"": 7.5}"
Yq61Ta2b7uE_00-00-00_00-00-15,preserve,Second half,data/audio/preserve/Yq61Ta2b7uE_00-00-00_00-00-15__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
dPAQPD9x4DA_00-00-00_00-00-26,change,00:20:00,data/audio/change/dPAQPD9x4DA_00-00-00_00-00-26__change.wav,pad_front,"{""seconds"": 5.0}"
dPAQPD9x4DA_00-00-00_00-00-26,preserve,00:15:00,data/audio/preserve/dPAQPD9x4DA_00-00-00_00-00-26__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
kxWPzFEkv3o_00-00-00_00-00-12,change,00:08:00,data/audio/change/kxWPzFEkv3o_00-00-00_00-00-12__change.wav,pad_front,"{""seconds"": 2.0}"
kxWPzFEkv3o_00-00-00_00-00-12,preserve,00:06:00,data/audio/preserve/kxWPzFEkv3o_00-00-00_00-00-12__preserve.wav,gain,"{""db"": -3, ""end"": 60.0, ""start"": 0.0}"
